Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
Benefit Cosmetics,https://www.sephora.com/product/theyre-real-real-big-steal-set-P412760?icid2=products%20grid:p412760:product,REAL Big Steal Mascara Duo,$24.00 ,Limited Edition
HUDABEAUTY,https://www.sephora.com/product/contour-strobe-lip-set-P426365?icid2=products%20grid:p426365:product,Contour & Strobe Lip Set,$25.00 ,Limited Edition
Fresh,https://www.sephora.com/product/sugar-carry-on-P436349?icid2=products%20grid:p436349:product,Sugar Carry-on,$24.00 ,Limited Edition
SEPHORA COLLECTION,https://www.sephora.com/product/ready-in-5-eye-brush-set-P417918?icid2=products%20grid:p417918:product,Ready in 5 Eye Brush Set,$20.00 ,Exclusive
Smashbox,https://www.sephora.com/product/try-it-kit-primer-authority-P398374?icid2=products%20grid:p398374:product,Try It Kit- Primer Authority,$29.00 ,Online Only
Herbivore,https://www.sephora.com/product/balance-clarify-natural-skincare-mini-collection-P436892?icid2=products%20grid:p436892:product,Balance + Clarify Natural Skincare Mini Collection,$49.00 ,
glamglow,https://www.sephora.com/product/the-problem-solver-set-P436103?icid2=products%20grid:p436103:product,The Problem Solver Set,$79.00 ,Limited Edition
Viktor&Rolf,https://www.sephora.com/product/flowerbomb-travel-duo-P261810?icid2=products%20grid:p261810:product,Flowerbomb Travel Duo,$35.00 ,Exclusive
Sephora Favorites,https://www.sephora.com/product/summer-hair-saviors-P431714?icid2=products%20grid:p431714:product,Summer Hair Saviors,$38.00 ,Exclusive
Marc Jacobs Beauty,https://www.sephora.com/product/eyeconic-eyeshadow-palette-P420951?icid2=products%20grid:p420951:product,Eye-Conic Multi-Finish Eyeshadow Palette,$49.00 ,
NuFACE,https://www.sephora.com/product/gold-mini-express-skin-toning-collection-P435808?icid2=products%20grid:p435808:product,Gold Mini Express Skin Toning Collection,$199.00 ,Limited Edition
Murad,https://www.sephora.com/product/active-retinol-renewal-kit-P435213?icid2=products%20grid:p435213:product,Active Retinol Renewal Kit,$68.00 ,
